date,close,ExactBestMajorReversals,4DaysAheadTwoState,BuyIfNotSell,SellIfNotBuy,TwoStateMajorReversals,TwoStDayAfterMajRev,2StBDayAftSDayBefore,2StBDayAftSDayOf,DayAfterMajorReversal,4_days_ahead_TARGET,5pct_20day_TARGET,5pct_10day_TARGET,2_5pct_5day_TARGET,vix,candleHeight,6_day_SMA ,pct_Diff_from_6_day_SMA,Slope_6_Day_SMA,4_day_SMA,Slope_4_day_SMA,newHighs1Y,newLows1Y,CHLI_1Y,newHighs1M,newLows1M,CHLI_1M,newHighs2W,newLows2W,CHLI_2W,newHighs1W,newLows1W,CHLI_1W,advancedIssues,declinedIssues,ADV_Issues,advancedVolume,declinedVolume,ADV_Vol,advancedIssuesComp,declinedIssuesComp,ADV_Issues_Comp,advancedVolumeComp,declinedVolumeComp,ADV_Vol_Comp,PutCallRatio,PutCallRatio100,ImpVol,daysToEarnings,daysToDividend,TenYearFuturesContract,TwoYearFuturesContract,2yr_Yield,10yr_Yield,2yr_pct_chg,10yr_pct_chg,10yr_2yr_diff,10_2_diff_pct_chg
7/30/2014,24.5375,HOLD,BUY,BUY,SELL,BUY,BUY,BUY,BUY,BUY,HOLD,HOLD,HOLD,SELL,13.33,0.0725,24.47671667,0.003,0.109,24.576,0.023,258,200,0.563318765,167,298,0.359139777,313,494,0.387856253,443,494,0.472785481,1532,1077,0.587198158,301223,168536,0.6412288,1568,1095,0.588809611,"1,145,876","681,542",0.627046467,N/A,N/A,0.2237,-57,-6,124.6562,109.6641,0.559,2.56,0.0295,0.0398,2.001,0.0427
7/31/2014,23.9,HOLD,BUY,BUY,SELL,BUY,BUY,BUY,BUY,BUY,HOLD,BUY,HOLD,HOLD,16.95,0.39,24.41046667,-0.021,0.026,24.447,-0.043,221,276,0.444667999,125,732,0.145857641,236,1110,0.175334323,327,"1,110",0.22755741,411,2233,0.155446293,74975,525138,0.124934804,426,2259,0.158659217,"320,998","1,861,702",0.147064645,N/A,N/A,0.2608,-56,-5,124.625,109.7188,0.531,2.562,-0.0501,0.0008,2.031,0.015
8/1/2014,24.0325,HOLD,BUY,BUY,SELL,BUY,BUY,BUY,BUY,BUY,HOLD,BUY,HOLD,HOLD,17.03,0.3075,24.37296667,-0.014,-0.035,24.266,-0.06,179,302,0.372141364,54,767,0.065773446,113,1153,0.089257503,154,"1,153",0.117827084,951,1689,0.360227271,190352,343343,0.356668134,957,1723,0.357089551,"686,619","1,310,659",0.343777381,N/A,N/A,0.2769,-55,-4,125.3281,109.8281,0.476,2.494,-0.1036,-0.0265,2.018,-0.0064
8/4/2014,23.8975,HOLD,BUY,BUY,SELL,BUY,BUY,BUY,BUY,BUY,HOLD,BUY,HOLD,HOLD,15.12,0.1775,24.28625,-0.016,-0.041,24.092,-0.058,178,284,0.385281377,62,437,0.124248495,139,657,0.174623113,228,657,0.257627116,1659,984,0.627695798,315160,140996,0.690903989,1679,1011,0.624163566,"1,099,280","536,123",0.672176827,N/A,N/A,0.2605,-54,-3,125.4531,109.8438,0.468,2.485,-0.0168,-0.0036,2.017,-0.0005
8/5/2014,23.78,HOLD,BUY,BUY,SELL,BUY,BUY,BUY,BUY,BUY,BUY,HOLD,BUY,HOLD,16.87,0.06,24.12375,-0.014,-0.083,23.903,-0.063,177,278,0.38901098,76,401,0.159329137,174,559,0.237380624,304,559,0.352259556,1121,1491,0.429173046,168636,319179,0.345696627,1108,1555,0.416072098,"675,672","1,189,006",0.362353178,N/A,N/A,0.2766,-53,-2,125.375,109.8281,0.468,2.489,0,0.0016,2.021,0.002
8/6/2014,23.74,HOLD,BUY,BUY,SELL,BUY,BUY,BUY,BUY,BUY,BUY,HOLD,BUY,HOLD,16.37,0.0525,23.98125,-0.01,-0.102,23.863,-0.013,177,268,0.3977528,103,464,0.181657845,232,644,0.26484018,394,644,0.379576104,1551,1030,0.60092987,235732,215078,0.522907655,1589,1056,0.600756141,"842,177","922,100",0.477349645,N/A,N/A,0.2785,-52,-1,125.5,109.8359,0.46,2.469,-0.0171,-0.008,2.009,-0.0059
8/7/2014,23.62,HOLD,BUY,BUY,SELL,BUY,BUY,BUY,BUY,BUY,BUY,HOLD,BUY,BUY,16.66,0.1125,23.82833333,-0.009,-0.098,23.759,-0.034,178,277,0.391208783,101,339,0.229545449,209,505,0.292717083,342,505,0.403778035,924,1683,0.354430378,153448,314395,0.327990373,960,1709,0.359685274,"638,333","1,143,093",0.358326981,N/A,N/A,0.2876,-51,0,125.9531,109.8828,0.432,2.409,-0.0609,-0.0243,1.977,-0.0159
8/8/2014,23.685,BUY,BUY,BUY,BUY,BUY,BUY,BUY,BUY,BUY,BUY,HOLD,BUY,BUY,15.77,0.13,23.7925,-0.004,-0.063,23.706,-0.018,188,266,0.414096907,109,253,0.301104964,229,377,0.377887783,441,377,0.539119798,1826,805,0.694032685,326971,129866,0.715727929,1858,817,0.694579437,"1,195,366","532,815",0.69169028,N/A,N/A,0.2807,-50,-63,125.875,109.8516,0.448,2.422,0.037,0.0054,1.974,-0.0015
8/11/2014,23.9975,BUY,BUY,BUY,BUY,BUY,BUY,BUY,BUY,BUY,BUY,HOLD,BUY,BUY,14.23,0.18,23.78666667,0.009,-0.014,23.761,0.018,0,0,0,0,0,0,0,0,0,0,0,0,1935,736,0.72444777,300023,72367,0.805668788,1970,733,0.728819827,"1,164,956","316,929",0.786131178,N/A,N/A,0.2733,-49,-62,125.8594,109.875,0.444,2.429,-0.0089,0.0029,1.985,0.0056
8/12/2014,23.9925,BUY,BUY,BUY,BUY,BUY,BUY,BUY,BUY,BUY,BUY,BUY,BUY,BUY,14.13,0.0175,23.8025,0.008,0.003,23.824,0.021,78,74,0.513157861,309,200,0.60707268,546,399,0.577777772,1035,399,0.721757317,817,1797,0.312547818,122905,251424,0.328334166,846,1833,0.315789473,"480,674","1,033,567",0.3174356,N/A,N/A,0.2627,-48,-61,125.7812,109.8672,0.436,2.449,-0.018,0.0082,2.013,0.0141
8/13/2014,24.31,BUY,BUY,BUY,BUY,BUY,BUY,BUY,BUY,BUY,BUY,HOLD,BUY,BUY,12.9,0.2725,23.89083333,0.018,0.035,23.996,0.058,91,81,0.529069737,323,215,0.600371736,631,473,0.571557966,1233,473,0.722743255,1720,887,0.659762176,288856,94247,0.753990441,1774,902,0.662929743,"1,169,625","401,238",0.744574797,N/A,N/A,0.2534,-47,-60,126.125,109.9141,0.416,2.42,-0.0459,-0.0118,2.004,-0.0045
8/14/2014,24.375,BUY,BUY,BUY,BUY,BUY,BUY,BUY,BUY,BUY,BUY,HOLD,HOLD,BUY,12.42,0.0425,23.99666667,0.016,0.065,24.169,0.057,100,97,0.507614187,396,249,0.613953479,900,609,0.596421467,1476,609,0.707913666,1477,1130,0.56655159,208553,136642,0.604159968,1509,1157,0.566016502,"927,992","580,064",0.615356459,N/A,N/A,0.2462,-46,-59,126.2344,109.8984,0.416,2.403,0,-0.007,1.987,-0.0085
8/15/2014,24.495,BUY,BUY,BUY,BUY,BUY,BUY,BUY,BUY,BUY,BUY,HOLD,HOLD,BUY,13.15,0.02,24.1425,0.015,0.084,24.293,0.041,134,108,0.553718985,482,298,0.61794871,1119,879,0.560060057,1766,879,0.667674856,1121,1500,0.42769935,278256,242366,0.534468386,1129,1546,0.422056073,"922,773","783,463",0.540823778,N/A,N/A,0.2575,-45,-58,126.6562,109.9297,0.411,2.341,-0.012,-0.0258,1.93,-0.0287
8/18/2014,24.79,BUY,BUY,BUY,BUY,BUY,BUY,BUY,BUY,BUY,BUY,HOLD,HOLD,HOLD,12.32,0.1825,24.32666667,0.019,0.11,24.493,0.066,334,120,0.735682803,1089,323,0.771246453,1296,173,0.882232805,820,173,0.825780455,1953,717,0.731460671,336033,65948,0.835942495,2032,686,0.747608533,"1,239,694","259,811",0.826735489,N/A,N/A,0.2502,-44,-57,126.2812,109.9219,0.419,2.394,0.0195,0.0226,1.975,0.0233
8/19/2014,25.1325,BUY,BUY,BUY,BUY,BUY,BUY,BUY,BUY,BUY,BUY,HOLD,HOLD,HOLD,12.21,0.2625,24.51583333,0.026,0.124,24.698,0.069,357,111,0.762820497,1190,300,0.798657713,1399,197,0.876566411,980,197,0.832625312,1426,1182,0.546779139,262756,119431,0.687506378,1444,1235,0.53900709,"1,071,101","457,490",0.700711309,N/A,N/A,0.2485,-43,-56,126.25,109.8984,0.431,2.403,0.0286,0.0038,1.972,-0.0015
8/20/2014,25.1425,BUY,BUY,BUY,BUY,BUY,BUY,BUY,BUY,BUY,BUY,HOLD,HOLD,HOLD,11.78,0.0225,24.7075,0.018,0.127,24.89,0.064,334,123,0.730853376,1076,358,0.75034867,1384,303,0.820391222,472,303,0.60903225,989,1634,0.377049179,198068,168613,0.540164339,1005,1677,0.374720357,"806,005","633,323",0.559987022,N/A,N/A,0.2439,-42,-55,125.9062,109.8125,0.476,2.428,0.1044,0.0104,1.952,-0.0101
8/21/2014,25.145,BUY,BUY,BUY,BUY,BUY,BUY,BUY,BUY,BUY,BUY,HOLD,HOLD,HOLD,11.76,0.0025,24.84666667,0.012,0.11,25.053,0.054,338,139,0.708595373,1087,402,0.730020143,1449,411,0.779032254,545,411,0.570083676,1423,1192,0.544168258,205008,151129,0.575643643,1484,1209,0.551058297,"806,713","582,154",0.580842514,N/A,N/A,0.2429,-41,-54,125.9688,109.8203,0.472,2.409,-0.0084,-0.0078,1.937,-0.0077
8/22/2014,25.33,BUY,BUY,BUY,BUY,BUY,BUY,BUY,BUY,BUY,BUY,HOLD,HOLD,HOLD,11.47,0.2575,25.00583333,0.013,0.099,25.188,0.045,199,120,0.623824432,704,316,0.690196072,1501,395,0.791666662,728,395,0.648263574,1341,1249,0.517760616,187216,145330,0.562977753,1377,1294,0.51553725,"738,581","516,686",0.588385579,N/A,N/A,0.2395,-40,-53,125.8906,109.7969,0.492,2.403,0.0424,-0.0025,1.911,-0.0134
8/25/2014,25.385,BUY,BUY,BUY,BUY,BUY,BUY,BUY,BUY,BUY,BUY,HOLD,HOLD,HOLD,11.7,0.0625,25.15416667,0.009,0.103,25.251,0.021,214,106,0.668749979,916,328,0.736334399,605,271,0.690639262,725,271,0.727911639,1534,1093,0.583936047,224225,121694,0.648200879,1565,1136,0.579415029,"884,269","473,789",0.651127566,N/A,N/A,0.2491,-39,-52,125.4062,109.4141,0.504,2.384,0.0244,-0.0079,1.88,-0.0162
8/26/2014,25.2222,BUY,BUY,BUY,BUY,BUY,BUY,BUY,BUY,BUY,BUY,HOLD,HOLD,HOLD,11.63,0.1328,25.2262,0,0.073,25.271,0.007,228,114,0.666666647,994,332,0.74962292,592,270,0.686774934,698,270,0.721074373,1721,894,0.658126193,228257,120882,0.653771134,1754,922,0.655455902,"868,799","516,112",0.627332009,N/A,N/A,0.2441,-38,-51,125.375,109.4531,0.496,2.398,-0.0159,0.0059,1.902,0.0117
8/27/2014,25.5325,BUY,BUY,BUY,BUY,BUY,BUY,BUY,BUY,BUY,HOLD,HOLD,HOLD,SELL,11.78,0.2725,25.29286667,0.01,0.046,25.367,0.032,221,103,0.682098744,992,310,0.761904756,445,273,0.61977715,565,273,0.674224336,1112,1475,0.429841514,174237,168915,0.507754581,1164,1502,0.436609151,"725,053","619,526",0.539241651,N/A,N/A,0.2537,-37,-50,125.6406,109.4531,0.516,2.361,0.0403,-0.0154,1.845,-0.03
8/28/2014,25.5625,BUY,BUY,BUY,BUY,BUY,BUY,BUY,BUY,BUY,HOLD,HOLD,HOLD,SELL,12.05,0.165,25.36286667,0.008,0.046,25.426,0.019,202,124,0.619631883,898,369,0.708760847,390,493,0.441676099,491,493,0.498983735,887,1702,0.34260332,147623,174330,0.458523449,893,1767,0.335714284,"623,810","643,054",0.492404867,N/A,N/A,0.2585,-36,-49,125.8281,109.4922,0.504,2.338,-0.0233,-0.0097,1.834,-0.006
8/29/2014,25.625,BUY,BUY,BUY,BUY,BUY,BUY,BUY,BUY,BUY,HOLD,HOLD,HOLD,SELL,11.98,0.09,25.44286667,0.007,0.05,25.486,0.02,218,110,0.664634126,931,350,0.726775951,380,347,0.522696004,513,347,0.596511621,1830,777,0.701956269,280302,80621,0.776625485,1876,790,0.703675916,"994,555","296,248",0.770493251,N/A,N/A,0.2599,-35,-48,125.7656,109.5156,0.492,2.345,-0.0238,0.003,1.853,0.0104
9/2/2014,25.825,HOLD,BUY,BUY,SELL,BUY,BUY,BUY,BUY,BUY,HOLD,HOLD,HOLD,SELL,12.25,0.0575,25.52536667,0.012,0.054,25.636,0.05,156,39,0.799999959,607,123,0.831506838,795,522,0.603644642,1070,522,0.672110549,1567,1068,0.594686905,276749,176396,0.610729457,1608,1095,0.594894559,"1,143,366","674,374",0.629004148,N/A,N/A,0.2582,-34,-47,125.2188,109.4531,0.528,2.423,0.0732,0.0333,1.895,0.0227
9/3/2014,24.735,HOLD,BUY,BUY,SELL,BUY,BUY,BUY,BUY,HOLD,HOLD,HOLD,HOLD,HOLD,12.36,1.04,25.41703333,-0.027,-0.009,25.437,-0.066,151,40,0.790575875,519,133,0.796012258,674,576,0.539199996,882,576,0.604938267,941,1721,0.353493612,179729,277119,0.393410938,978,1743,0.35942668,"743,667","1,062,332",0.411775976,N/A,N/A,0.3152,-33,-46,125.3438,109.4609,0.52,2.398,-0.0152,-0.0103,1.878,-0.009
9/4/2014,24.53,HOLD,BUY,BUY,SELL,BUY,BUY,BUY,BUY,HOLD,HOLD,HOLD,HOLD,BUY,12.64,0.2225,25.30166667,-0.03,-0.075,25.179,-0.086,116,54,0.682352901,416,157,0.726003478,522,696,0.428571425,711,696,0.505330487,1063,1543,0.407904833,190286,230646,0.452058765,1065,1602,0.399325083,"726,263","940,341",0.435774185,N/A,N/A,0.3059,-32,-45,124.9688,109.4141,0.536,2.453,0.0308,0.0229,1.917,0.0208
9/5/2014,24.7425,HOLD,BUY,BUY,SELL,BUY,BUY,BUY,BUY,HOLD,HOLD,HOLD,HOLD,BUY,12.09,0.0425,25.17,-0.017,-0.082,24.958,-0.074,68,62,0.523076883,226,218,0.509008998,295,953,0.236378203,405,953,0.298232693,1421,1184,0.545489441,259425,151727,0.630971028,1463,1218,0.545691904,"987,850","578,393",0.630713114,N/A,N/A,0.3023,-31,-44,125.0312,109.4844,0.508,2.459,-0.0522,0.0024,1.951,0.0177
9/8/2014,24.59,HOLD,BUY,BUY,SELL,BUY,BUY,BUY,BUY,HOLD,HOLD,HOLD,HOLD,BUY,12.66,0.235,25.00791667,-0.016,-0.098,24.649,-0.103,108,53,0.670807412,373,189,0.663701056,494,659,0.428447524,639,659,0.492295836,1500,1167,0.562429694,246779,176675,0.582776405,1513,1205,0.556659306,"986,906","650,399",0.602762466,N/A,N/A,0.3013,-30,-43,124.8906,109.4375,0.532,2.471,0.0472,0.0049,1.939,-0.0062
9/9/2014,24.4975,HOLD,BUY,BUY,SELL,BUY,BUY,BUY,BUY,HOLD,HOLD,HOLD,HOLD,BUY,13.5,0.2725,24.82,-0.012,-0.117,24.59,-0.02,61,70,0.465648819,231,307,0.429368022,294,855,0.255874671,366,855,0.299754297,645,2010,0.242937852,86366,384549,0.183400401,636,2042,0.237490664,"393,864","1,532,821",0.204425736,N/A,N/A,0.2699,-29,-42,124.625,109.375,0.56,2.502,0.0526,0.0125,1.942,0.0015
9/10/2014,25.25,HOLD,BUY,BUY,SELL,BUY,BUY,BUY,BUY,HOLD,HOLD,HOLD,HOLD,HOLD,12.88,0.7475,24.72416667,0.021,-0.095,24.77,0.06,64,81,0.44137928,232,303,0.433644852,315,843,0.272020723,391,843,0.316855751,1603,1038,0.606967056,298787,138657,0.683029142,1632,1055,0.607368811,"1,169,458","592,536",0.663712816,N/A,N/A,0.2487,-28,-41,124.4062,109.3359,0.572,2.543,0.0214,0.0164,1.971,0.0149
9/11/2014,25.3575,HOLD,BUY,BUY,SELL,BUY,BUY,BUY,BUY,HOLD,HOLD,HOLD,HOLD,HOLD,12.8,0.255,24.82791667,0.022,0.003,24.924,0.051,85,58,0.594405553,293,219,0.572265614,395,617,0.390316202,540,617,0.466724283,1513,1125,0.573540559,256549,153439,0.625747583,1556,1124,0.580597013,"1,015,133","602,548",0.627523597,N/A,N/A,0.239,-27,-40,124.3906,109.3359,0.564,2.55,-0.014,0.0028,1.986,0.0076
9/12/2014,25.415,HOLD,BUY,BUY,SELL,BUY,BUY,BUY,BUY,HOLD,HOLD,HOLD,HOLD,HOLD,13.31,0.115,24.97541667,0.018,0.084,25.13,0.069,77,57,0.574626823,282,271,0.509945741,373,703,0.346654272,563,703,0.444707737,883,1763,0.333711261,166819,289158,0.365849593,865,1817,0.322520506,"677,207","1,049,284",0.392244732,N/A,N/A,0.2438,-26,-39,123.9844,109.3516,0.564,2.609,0,0.0231,2.045,0.0297
9/15/2014,25.4075,HOLD,BUY,BUY,SELL,BUY,BUY,BUY,BUY,HOLD,HOLD,HOLD,HOLD,HOLD,14.12,0.295,25.08625,0.013,0.086,25.358,0.076,79,166,0.322448966,243,785,0.236381321,607,1932,0.239070499,635,"1,932",0.24737047,623,2058,0.232375978,74310,405450,0.154889945,634,2089,0.232831435,"330,125","1,577,873",0.17302167,N/A,N/A,0.2427,-25,-38,124.1875,109.3984,0.544,2.591,-0.0355,-0.0069,2.047,0.001
9/16/2014,25.215,HOLD,BUY,BUY,SELL,BUY,BUY,BUY,BUY,HOLD,HOLD,HOLD,HOLD,HOLD,12.73,0.265,25.19041667,0.001,0.072,25.349,-0.003,81,144,0.359999984,212,679,0.237934902,507,1342,0.27420227,528,"1,342",0.28235294,1427,1219,0.539304609,325197,155072,0.677114284,1434,1252,0.533879373,"1,196,171","629,819",0.655080805,N/A,N/A,0.2425,-24,-37,124.1875,109.4141,0.54,2.594,-0.0074,0.0012,2.054,0.0034
9/17/2014,25.395,HOLD,BUY,BUY,SELL,BUY,BUY,BUY,BUY,HOLD,HOLD,HOLD,HOLD,HOLD,12.65,0.0775,25.34,0.002,0.085,25.358,0.003,121,88,0.578947341,288,340,0.458598719,607,648,0.483665335,627,648,0.491764702,1490,1159,0.562476404,277516,178959,0.607954433,1512,1168,0.564179102,"1,063,001","684,035",0.6084597,N/A,N/A,0.2328,-23,-36,123.8281,109.3516,0.569,2.622,0.0537,0.0108,2.053,-0.0005
9/18/2014,25.4475,HOLD,BUY,BUY,SELL,BUY,BUY,BUY,BUY,HOLD,HOLD,SELL,HOLD,SELL,12.03,0.065,25.37291667,0.003,0.061,25.366,0.003,162,92,0.63779525,364,302,0.546546538,669,504,0.570332476,680,504,0.574324319,1604,1077,0.59828422,288465,149475,0.658686121,1618,1077,0.600371055,"1,063,970","641,948",0.623693519,N/A,N/A,0.2277,-22,-35,123.8125,109.3594,0.565,2.618,-0.007,-0.0015,2.053,0
9/19/2014,25.24,HOLD,BUY,BUY,SELL,BUY,BUY,BUY,BUY,HOLD,HOLD,HOLD,HOLD,HOLD,12.11,0.3275,25.35333333,-0.004,0.004,25.324,-0.014,159,155,0.506369411,398,556,0.417190771,697,874,0.443666452,703,874,0.44578313,926,1785,0.341571375,423190,801743,0.34548012,941,1797,0.343681518,"895,887","1,926,849",0.317382497,N/A,N/A,0.2425,-21,-34,124.0625,109.3672,0.569,2.578,0.0071,-0.0153,2.009,-0.0214
9/22/2014,25.265,HOLD,BUY,BUY,SELL,BUY,BUY,BUY,BUY,HOLD,HOLD,HOLD,HOLD,HOLD,13.69,0.185,25.32833333,-0.002,-0.015,25.337,0.004,36,177,0.169014077,92,798,0.103370785,137,1202,0.10231516,210,"1,202",0.148725211,535,2168,0.197928227,75292,415895,0.153285816,547,2182,0.200439721,"340,190","1,502,304",0.184635608,N/A,N/A,0.2382,-20,-33,124.2812,109.4141,0.553,2.566,-0.0281,-0.0047,2.013,0.002
9/23/2014,25.66,HOLD,BUY,BUY,SELL,BUY,BUY,BUY,BUY,HOLD,HOLD,HOLD,HOLD,HOLD,14.93,0.505,25.37041667,0.011,0.006,25.403,0.022,26,164,0.136842098,74,812,0.083521444,112,1175,0.087024086,176,"1,175",0.13027387,783,1854,0.296928327,158648,316525,0.333874189,795,1887,0.296420581,"645,473","1,136,354",0.362253462,N/A,N/A,0.2327,-19,-32,124.5938,109.4453,0.541,2.527,-0.0217,-0.0152,1.986,-0.0134
9/24/2014,25.4375,HOLD,BUY,BUY,SELL,BUY,BUY,BUY,BUY,HOLD,HOLD,HOLD,HOLD,SELL,13.27,0.1025,25.4075,0.001,0.026,25.401,-0.001,32,156,0.170212757,95,626,0.131761441,150,927,0.139275765,235,927,0.20223752,1745,880,0.664761902,329784,114909,0.741599261,1788,896,0.666169893,"1,183,395","497,535",0.704012065,N/A,N/A,0.232,-18,-31,124.2812,109.4219,0.591,2.566,0.0924,0.0154,1.975,-0.0055
9/25/2014,24.4675,HOLD,BUY,BUY,SELL,BUY,BUY,BUY,BUY,HOLD,HOLD,BUY,HOLD,HOLD,15.64,0.66,25.25291667,-0.031,-0.039,25.208,-0.064,29,205,0.123931619,79,876,0.082722512,128,1313,0.088827203,202,"1,313",0.133333332,500,2161,0.187899285,51291,465029,0.099339557,510,2196,0.188470066,"243,185","1,655,131",0.128105647,N/A,N/A,0.2778,-17,-30,124.8281,109.4922,0.555,2.504,-0.0609,-0.0242,1.949,-0.0132
9/26/2014,25.1875,HOLD,BUY,BUY,SELL,BUY,BUY,BUY,BUY,HOLD,HOLD,HOLD,HOLD,HOLD,14.85,0.555,25.20958333,-0.001,-0.066,25.188,-0.006,35,122,0.222929922,76,483,0.135957064,124,718,0.147268407,199,718,0.217011993,1773,883,0.667545178,338971,85889,0.797841642,1810,876,0.67386448,"1,257,601","336,948",0.788687585,N/A,N/A,0.2442,-16,-29,124.5156,109.4297,0.579,2.528,0.0432,0.0096,1.949,0
