date,close,ExactBestMajorReversals,4DaysAheadTwoState,BuyIfNotSell,SellIfNotBuy,TwoStateMajorReversals,,counter,TwoStDayAfterMajRev,2StBDayAftSDayBefore,2StBDayAftSDayOf,DayAfterMajorReversal,4_days_ahead_TARGET,5pct_20day_TARGET,5pct_10day_TARGET,2_5pct_5day_TARGET,vix,candleHeight,6_day_SMA ,pct_Diff_from_6_day_SMA,Slope_6_Day_SMA,4_day_SMA,Slope_4_day_SMA,newHighs1Y,newLows1Y,CHLI_1Y,newHighs1M,newLows1M,CHLI_1M,newHighs2W,newLows2W,CHLI_2W,newHighs1W,newLows1W,CHLI_1W,advancedIssues,declinedIssues,ADV_Issues,advancedVolume,declinedVolume,ADV_Vol,advancedIssuesComp,declinedIssuesComp,ADV_Issues_Comp,advancedVolumeComp,declinedVolumeComp,ADV_Vol_Comp,PutCallRatio,PutCallRatio100,ImpVol,daysToEarnings,daysToDividend,TenYearFuturesContract,TwoYearFuturesContract,2yr_Yield,10yr_Yield,2yr_pct_chg,10yr_pct_chg,10yr_2yr_diff,10_2_diff_pct_chg
2/10/2015,30.505,BUY,BUY,BUY,BUY,BUY,6,27,BUY,BUY,BUY,BUY,BUY,HOLD,BUY,BUY,27,0.465,29.95083333,27,27,30.038,0.051,72,45,0.615384563,268,154,0.635071075,409,484,0.458006714,562,484,27,1636,1045,0.610220065,343397,112850,0.752655908,1670,1074,0.608600581,"1,274,277","454,830",0.736956707,N/A,0,0.2564,-52,-60,128.3281,109.5078,0.656,2.004,0.0061,0.0131,1.348,0.0166
2/11/2015,31.22,BUY,BUY,BUY,BUY,BUY,7,28,BUY,BUY,BUY,BUY,BUY,HOLD,HOLD,BUY,28,0.5275,30.21041667,28,28,30.347,0.103,95,56,0.629139031,286,155,0.648526062,417,538,0.43664921,599,538,28,1192,1443,0.452371915,242601,203532,0.54378627,1194,1484,0.445855114,"971,815","769,910",0.557961217,N/A,0.0004,0.2589,-51,-59,128.0781,109.4922,0.672,2.021,0.0244,0.0085,1.349,0.0007
2/12/2015,31.615,BUY,BUY,BUY,BUY,BUY,8,29,BUY,BUY,BUY,BUY,BUY,HOLD,HOLD,HOLD,29,0.1,30.49791667,29,29,30.818,0.157,152,28,0.844444398,430,104,0.805243431,623,330,0.653725072,792,330,29,1881,779,0.707142854,374705,124299,0.750905804,1926,807,0.704720085,"1,469,517","547,336",0.728618794,N/A,0,0.2749,-50,-58,128.4375,109.5703,0.632,1.988,-0.0595,-0.0163,1.356,0.0052
2/13/2015,31.77,BUY,BUY,BUY,BUY,SELL,9,30,BUY,BUY,BUY,BUY,BUY,HOLD,HOLD,BUY,30,0.05,30.79541667,30,30,31.278,0.153,162,31,0.839378195,522,96,0.844660181,731,277,0.725198406,949,277,30,1685,985,0.63108614,326749,146609,0.690278816,1713,993,0.633037692,"1,255,688","633,769",0.664576119,N/A,0.0602,0.2569,-49,-57,128.0781,109.5469,0.645,2.047,0.0206,0.0297,1.402,0.0339
2/17/2015,31.9575,BUY,BUY,BUY,BUY,SELL,10,31,BUY,BUY,BUY,BUY,BUY,HOLD,HOLD,BUY,31,0.085,31.16625,31,31,31.641,0.121,216,54,0.79999997,786,199,0.797969535,1022,463,0.688215484,1244,463,31,1538,1169,0.568156629,281732,183055,0.606152926,1526,1204,0.558974357,"1,118,137","614,454",0.645355424,N/A,0.5836,0.2681,-48,-56,127.3438,109.5156,0.666,2.145,0.0326,0.0479,1.479,0.0549
2/18/2015,32.1788,BUY,BUY,BUY,BUY,SELL,11,32,BUY,BUY,BUY,BUY,BUY,HOLD,HOLD,HOLD,32,0.2725,31.54105,32,32,31.88,0.08,218,69,0.759581855,780,220,0.779999992,1031,491,0.677398156,1250,491,32,1383,1287,0.517977526,219515,203463,0.518974982,1426,1305,0.522153056,"863,692","793,460",0.521190573,N/A,4.43,0.2499,-47,-55,127.9688,109.6406,0.605,2.085,-0.0916,-0.028,1.48,0.0007
2/19/2015,32.1125,BUY,BUY,BUY,BUY,BUY,12,33,BUY,BUY,BUY,BUY,HOLD,HOLD,HOLD,HOLD,33,0.0025,31.80896667,33,33,32.005,0.041,241,68,0.77993525,818,233,0.778306367,1084,492,0.687817255,1293,492,33,1398,1233,0.531356896,221162,170437,0.564766509,1438,1258,0.533382787,"865,633","690,764",0.556177505,N/A,0.4942,0.2487,-46,-54,127.5625,109.5938,0.621,2.122,0.0264,0.0177,1.501,0.0142
2/20/2015,32.3738,BUY,BUY,BUY,BUY,BUY,13,34,BUY,BUY,BUY,BUY,HOLD,HOLD,HOLD,HOLD,34,0.2063,32.00126667,34,34,32.156,0.05,264,67,0.797583057,857,233,0.786238525,1121,538,0.675708254,1308,538,34,1394,1252,0.526832953,312651,158638,0.663395496,1445,1271,0.532032399,"1,091,393","627,957",0.634770698,N/A,0.0262,0.2484,-45,-53,127.5781,109.5781,0.642,2.115,0.0338,-0.0033,1.473,-0.0187
2/23/2015,33.25,BUY,BUY,BUY,BUY,BUY,14,35,BUY,BUY,BUY,BUY,HOLD,HOLD,HOLD,SELL,35,0.71,32.27376667,35,35,32.479,0.108,129,43,0.749999956,382,146,0.723484835,520,738,0.413354528,660,738,35,1232,1479,0.454444853,216870,241015,0.473634209,1181,1548,0.432759251,"831,504","866,610",0.489663238,N/A,0,0.2647,-44,-52,127.3281,109.2031,0.606,2.061,-0.0561,-0.0255,1.455,-0.0122
2/24/2015,33.0425,HOLD,BUY,BUY,SELL,BUY,15,36,BUY,BUY,BUY,BUY,HOLD,HOLD,SELL,HOLD,36,0.1925,32.48585,36,36,32.695,0.072,160,33,0.829015501,475,121,0.796979852,639,436,0.594418599,765,436,36,1484,1179,0.557266239,241224,200498,0.54609913,1575,1148,0.578406168,"942,775","834,873",0.530349653,N/A,55.6329,0.2605,-43,-51,128.0781,109.3359,0.553,1.972,-0.0875,-0.0432,1.419,-0.0247
2/25/2015,32.1975,HOLD,BUY,BUY,SELL,SELL,16,37,BUY,BUY,BUY,HOLD,HOLD,HOLD,SELL,HOLD,37,0.6925,32.52585,37,37,32.716,0.007,140,21,0.869565163,453,104,0.813285443,597,402,0.597597592,727,402,37,1490,1168,0.560571856,235995,202717,0.537926932,1465,1238,0.541990379,"977,289","821,085",0.543429231,N/A,0.0266,0.2776,-42,-50,128.1094,109.3125,0.607,1.972,0.0976,0,1.365,-0.0381
2/26/2015,32.6037,HOLD,BUY,BUY,SELL,SELL,17,38,BUY,BUY,BUY,HOLD,HOLD,HOLD,HOLD,SELL,38,0.4075,32.59666667,38,38,32.773,0.019,155,26,0.856353544,468,96,0.829787219,614,390,0.611553779,783,390,38,1440,1271,0.531169308,266353,188884,0.585086449,1513,1200,0.557685217,"1,091,056","781,017",0.582806333,N/A,0,0.2849,-41,-49,127.5312,109.2344,0.654,2.031,0.0774,0.0299,1.377,0.0088
2/27/2015,32.115,HOLD,BUY,BUY,SELL,SELL,18,39,BUY,BUY,BUY,HOLD,HOLD,HOLD,HOLD,HOLD,39,0.385,32.59708333,39,39,32.49,-0.095,112,32,0.777777724,388,136,0.740458001,530,459,0.535894838,652,459,39,1038,1642,0.387313431,188587,309265,0.378801331,1048,1693,0.382342209,"740,004","1,106,168",0.400831558,N/A,0.2714,0.2907,-40,-48,127.8125,109.2969,0.622,1.996,-0.0489,-0.0172,1.374,-0.0022
3/2/2015,32.2725,HOLD,BUY,BUY,SELL,SELL,19,40,BUY,BUY,BUY,HOLD,HOLD,HOLD,HOLD,HOLD,40,0.0625,32.5802,40,40,32.297,-0.064,376,106,0.780082971,1084,328,0.767705377,1318,642,0.672448976,1483,642,40,1793,913,0.662601624,356756,126300,0.738539631,1792,960,0.651162788,"1,350,372","534,040",0.716601253,N/A,0.7798,0.281,-39,-47,127.1406,109.2031,0.662,2.089,0.0643,0.0466,1.427,0.0386
3/3/2015,32.34,HOLD,BUY,BUY,SELL,BUY,20,41,BUY,BUY,BUY,HOLD,HOLD,HOLD,HOLD,SELL,41,0.1,32.42853333,41,41,32.333,0.012,360,114,0.759493655,1068,361,0.747375782,1289,666,0.659335035,1443,666,41,959,1723,0.357568977,169171,326111,0.341565007,945,1785,0.346153845,"769,006","1,192,962",0.391956444,N/A,10.7956,0.276,-38,-46,126.8438,109.1641,0.682,2.122,0.0302,0.0158,1.44,0.0091
3/4/2015,32.135,HOLD,BUY,BUY,SELL,BUY,21,42,BUY,BUY,BUY,HOLD,HOLD,HOLD,HOLD,SELL,42,0.14,32.27728333,42,42,32.216,-0.039,344,131,0.724210511,1003,391,0.71951219,1208,723,0.625582596,1357,723,42,1092,1583,0.408224298,201788,245199,0.451440422,1113,1591,0.411612425,"835,118","951,109",0.467531842,N/A,0.5282,0.2773,-37,-45,126.9375,109.2031,0.659,2.119,-0.0337,-0.0014,1.46,0.0139
3/5/2015,31.6025,HOLD,BUY,BUY,SELL,BUY,22,43,BUY,BUY,BUY,HOLD,HOLD,HOLD,HOLD,HOLD,43,0.545,32.17811667,43,43,32.088,-0.043,100,43,0.69930065,319,161,0.664583319,421,611,0.407945732,560,611,43,1534,1112,0.579743006,256871,172111,0.598792024,1556,1158,0.573323506,"1,001,080","693,817",0.590643561,N/A,6.307,0.2852,-36,-44,127.0469,109.2422,0.643,2.117,-0.0243,-0.0009,1.474,0.0096
3/6/2015,31.65,HOLD,BUY,BUY,SELL,BUY,23,44,BUY,BUY,BUY,HOLD,HOLD,HOLD,HOLD,HOLD,44,0.4575,32.01916667,44,44,31.932,-0.052,69,54,0.560975564,263,297,0.469642849,348,903,0.278177456,467,903,44,815,1906,0.299522233,134761,350597,0.277652784,836,1930,0.302241503,"576,841","1,318,512",0.30434489,N/A,20.6157,0.295,-35,-43,126.0469,109.0391,0.727,2.247,0.1306,0.0614,1.52,0.0312
3/9/2015,31.785,HOLD,BUY,BUY,SELL,BUY,24,45,BUY,BUY,BUY,HOLD,HOLD,HOLD,HOLD,HOLD,45,0.205,31.96416667,45,45,31.793,-0.046,68,66,0.507462649,225,286,0.440313103,295,745,0.283653843,405,745,45,1480,1220,0.548148146,251071,158664,0.612764348,1520,1217,0.555352574,"985,196","658,621",0.599334354,N/A,0.6139,0.2676,-34,-42,126.4531,109.125,0.696,2.192,-0.0426,-0.0245,1.496,-0.0158
3/10/2015,31.1275,HOLD,BUY,BUY,SELL,SELL,25,46,BUY,BUY,BUY,HOLD,HOLD,HOLD,HOLD,HOLD,46,0.475,31.77333333,46,46,31.541,-0.084,63,112,0.359999979,215,560,0.277419351,279,1356,0.170642201,397,"1,356",46,630,2071,0.233246945,75497,404616,0.157248398,661,2081,0.241064915,"340,026","1,502,808",0.18451255,N/A,0.6875,0.2784,-33,-41,126.8906,109.1641,0.68,2.121,-0.023,-0.0324,1.441,-0.0368
3/11/2015,30.56,HOLD,BUY,BUY,SELL,SELL,26,47,BUY,BUY,BUY,HOLD,HOLD,HOLD,HOLD,BUY,47,0.6275,31.47666667,47,47,31.281,-0.087,83,124,0.400966164,249,587,0.297846886,348,1396,0.199541283,560,"1,396",47,1545,1156,0.572010364,251904,216330,0.537987417,1526,1190,0.561855668,"958,572","835,936",0.534169811,N/A,0,0.285,-32,-40,127,109.1797,0.684,2.109,0.0059,-0.0057,1.425,-0.0111
3/12/2015,31.1125,HOLD,BUY,BUY,SELL,SELL,27,48,BUY,BUY,BUY,HOLD,HOLD,HOLD,HOLD,HOLD,48,0.535,31.30625,48,48,31.146,-0.045,152,118,0.562962942,445,469,0.486870892,606,1259,0.324932974,944,"1,259",48,1923,782,0.710905728,315155,150949,0.676147383,1976,771,0.719330176,"1,182,002","634,863",0.650572277,N/A,89.4286,0.2418,-31,-39,127.0156,109.2109,0.664,2.11,-0.0292,0.0005,1.446,0.0147
3/13/2015,30.8975,HOLD,BUY,BUY,SELL,SELL,28,49,BUY,BUY,BUY,HOLD,HOLD,HOLD,HOLD,HOLD,49,0.2,31.18875,49,49,30.924,-0.074,163,115,0.586330914,474,524,0.474949895,657,1348,0.327680796,1130,"1,348",49,1078,1585,0.404806608,163647,291639,0.359437804,1059,1647,0.391352548,"655,453","1,141,926",0.364671558,N/A,0.8004,0.2641,-30,-38,127.0781,109.2188,0.661,2.118,-0.0045,0.0038,1.457,0.0076
3/16/2015,31.2375,HOLD,BUY,BUY,SELL,SELL,29,50,BUY,BUY,BUY,HOLD,HOLD,HOLD,HOLD,HOLD,50,0.3175,31.12,50,50,30.952,0.009,236,130,0.644808726,575,539,0.516157985,799,403,0.664725452,682,403,50,1544,1190,0.564740305,302840,129616,0.700279335,1548,1202,0.562909089,"1,097,386","571,707",0.657474449,N/A,0,0.2519,-29,-37,127.3906,109.25,0.653,2.074,-0.0121,-0.0208,1.421,-0.0247
3/17/2015,31.76,HOLD,BUY,BUY,SELL,BUY,30,51,BUY,BUY,BUY,HOLD,HOLD,HOLD,HOLD,HOLD,51,0.285,31.11583333,51,51,31.252,0.1,135,93,0.592105237,334,452,0.424936381,471,1324,0.262395542,1033,"1,324",51,1413,1275,0.525669641,221954,209082,0.514931467,1379,1334,0.5082934,"861,755","809,692",0.51557423,N/A,0,0.2548,-28,-36,127.5312,109.2031,0.674,2.052,0.0322,-0.0106,1.378,-0.0303
